sucrose,1.07,2978.01
MgSO4·7H2O,264.00,29.946
CaCl2·2H2O,207.00,13.452
FeSO4·7H2O,252.00,33.779
Na2MoO4·2H2O,1340.00,0.472
K2HPO4,224.00,143.695
KH2PO4,115.00,34.702
iron citrate (III),301.00,0.992
Urea,168.00,9.009

		
